numBuckets 288
AF1486 AF1487
FR6696 FR6652
EI3256 EI3257
EZY425 EZY428
BE211 BE212
SN2063 SN2064
BE848 BE851
LM336 LM391
BA1448 BA1445
EZY17 EZY6913
BE769 BE1343
KL1289 KL1290
LM356 LM341
EW1712 EW1713
LM348A LM353
BE656 BE2109
LH964 LH965
EZY809 EZY488
EZY6924 EZY6983
LM398 LM335
EZY485 EZY6931
FR1108 FR1049
EZY427 EZY812
EZY6956 EZY6957
EZY237 EZY6983
BA1452 BA2941
FR2685 FR8888
BE266 BE296
EZY6978 EZY430
BE295 BE853
FR1077 FR2674
FR7835 FR7352
EZY6908 EZY240
BE850 BE772
EZY487 EZY6925
EZY6996 EZY2686
EW9364 EW9365
BE771 BE267
BE1342 BE691
WK310 WK311
BA1454 BA1459
AY1373 AY1374
EZY6926 EZY20
FR1053 FR8824
LS706 LS775
EI3258 EI3259
VY7815 VY7816
FR6827 FR6826
LS728 LS715
FR9303 FR9304
FR4382 FR4383
EZY2685 EZY490
BA1458 BA1465
BE694 BE693
BE2108 BE855
BE852 BE2101
TOM1797 TOM1130
EZY19 EZY814
BA8714 BA8701
BA2944 BA2945
LM358 LM313
EZY811 EZY432
EZY489 EZY6901
EZY429 EZY6961
EI3808 EI3807
FR818 FR819
BA8716 BA8711
FR8887 FR6626
BE4507 BE4508
BA1462 BA1463
KL1293 KL1276
BE1344 BE1331
BE696 BE290
BE297 BE760
FR6604 FR6681
BE854 BE841
EZY431 EZY802
SN2065 SN2066
EZY6984 EZY232
BA8718 BA8705
EZY239 EZY6939
BE268 BE1333
LS788 LS857
EZY6958 EZY3386
BE2110 BE261
BE775 BE681
EZY813 EZY12
AF1886 AF1887
FR7353 FR6266
EZY6932 EZY482
FR8823 FR6826
FR2675 FR2453
LS776 LS853
EZY6914 EZY426
LS816 LS815
BA1460 BA1435
BA2946 BA2931
FR1050 FR8882
FR8422 FR1048
EZY6960 EZY804
FR6653 FR6656
arrTime depTime
0 770
0 555
0 570
0 340
0 745
0 765
0 775
0 1440
0 1440
0 1440
0 1440
0 1440
0 360
0 1065
0 720
0 785
0 825
0 1125
0 615
0 320
0 300
0 305
0 405
0 970
0 1015
0 475
0 405
0 735
0 565
0 1220
0 575
0 480
0 480
0 590
0 310
0 795
0 330
0 590
0 325
0 320
0 1440
0 340
0 300
0 355
0 355
0 295
0 355
0 745
0 1440
0 340
0 390
0 360
0 390
0 395
0 760
0 400
0 360
0 400
0 360
0 365
0 510
35 480
370 395
370 550
380 485
395 420
405 495
415 440
420 465
440 470
445 490
480 645
480 510
485 625
490 520
545 585
555 655
555 590
560 660
565 645
610 660
610 635
615 650
615 690
660 705
665 715
665 730
675 715
690 745
690 760
690 720
695 775
695 730
700 875
705 1135
705 735
715 755
715 765
715 770
720 750
725 875
725 1440
730 825
730 845
730 1030
730 790
735 880
740 880
745 805
750 870
755 820
765 865
765 825
770 800
790 835
790 1440
795 855
800 850
810 840
815 990
815 970
820 885
820 860
835 885
840 895
845 885
850 925
850 925
860 890
865 895
875 1015
875 905
880 970
885 925
885 940
885 915
895 1020
900 925
910 955
930 975
940 1440
945 1440
945 1025
960 1005
960 990
970 1440
975 1015
975 1440
980 1040
985 1030
985 1020
990 1020
990 1440
990 1055
990 1015
995 1075
995 1035
1005 1440
1010 1440
1010 1035
1020 1060
1025 1080
1035 1070
1040 1065
1040 1065
1045 1080
1045 1080
1050 1120
1050 1155
1050 1085
1060 1105
1065 1110
1075 1120
1075 1440
1075 1120
1090 1195
1090 1115
1100 1440
1100 1130
1105 1145
1110 1135
1115 1440
1115 1140
1125 1150
1125 1195
1125 1175
1125 1165
1140 1180
1155 1440
1165 1440
1170 1215
1175 1440
1175 1440
1175 1440
1185 1275
1190 1440
1190 1440
1190 1215
1215 1240
1220 1440
1225 1440
1230 1260
1230 1440
1235 1440
1235 1440
1240 1440
1245 1440
1250 1440
1255 1440
1255 1440
1255 1440
1265 1440
1265 1440
1270 1440
1270 1440
1280 1440
1280 1440
1285 1440
1290 1440
1290 1440
1295 1440
1295 1440
1300 1440
1305 1440
1310 1440
1315 1440
1330 1440
1330 1440
1330 1440
1335 1440
1360 1440
1360 1440
1365 1440
1375 1440
